2026-01-04 08:09:59.660 [SpringApplicationShutdownHook] INFO  o.s.orm.jpa.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2026-01-04 08:10:20.808 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@2403c1c5, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@8b93c88, org.springframework.security.web.context.SecurityContextHolderFilter@6b6c882c, org.springframework.security.web.header.HeaderWriterFilter@2d6cbbdb, org.springframework.web.filter.CorsFilter@628e0403, org.springframework.security.web.authentication.logout.LogoutFilter@752573df, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@56a6aadb, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@6aaed880, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@3a70acd5, org.springframework.security.web.access.ExceptionTranslationFilter@6527f68a, org.springframework.security.web.access.intercept.AuthorizationFilter@26edfa34]
2026-01-04 08:10:21.320 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/api'
2026-01-04 08:10:21.329 [main] INFO  com.material.system.MaterialSystemApplication - Started MaterialSystemApplication in 3.137 seconds (process running for 3.36)
2026-01-04 08:10:49.120 [http-nio-8080-exec-1] INFO  o.a.c.c.ContainerBase.[Tomcat].[localhost].[/api] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-01-04 08:10:49.120 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-01-04 08:10:49.121 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2026-01-04 08:12:34.415 [SpringApplicationShutdownHook] INFO  o.s.orm.jpa.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2026-01-04 08:12:34.417 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - MaterialHikariCP - Shutdown initiated...
2026-01-04 08:12:34.421 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - MaterialHikariCP - Shutdown completed.
2026-01-04 08:26:18.703 [main] INFO  com.material.system.MaterialSystemApplication - Starting MaterialSystemApplication using Java 19.0.2 with PID 15216 (C:\workplace\cangku\backend\target\classes started by Administrator in C:\workplace\cangku\backend)
2026-01-04 08:26:18.704 [main] DEBUG com.material.system.MaterialSystemApplication - Running with Spring Boot v3.2.2, Spring v6.1.3
2026-01-04 08:26:18.705 [main] INFO  com.material.system.MaterialSystemApplication - No active profile set, falling back to 1 default profile: "default"
2026-01-04 08:26:19.244 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-01-04 08:26:19.245 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-01-04 08:26:19.257 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 7 ms. Found 0 JPA repository interfaces.
2026-01-04 08:26:19.264 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-01-04 08:26:19.266 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-01-04 08:26:19.275 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 3 ms. Found 0 Redis repository interfaces.
2026-01-04 08:26:19.790 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2026-01-04 08:26:19.797 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2026-01-04 08:26:19.798 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.18]
2026-01-04 08:26:19.837 [main] INFO  o.a.c.c.ContainerBase.[Tomcat].[localhost].[/api] - Initializing Spring embedded WebApplicationContext
2026-01-04 08:26:19.838 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1112 ms
2026-01-04 08:26:19.993 [main] INFO  org.hibernate.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2026-01-04 08:26:20.021 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.1.Final
2026-01-04 08:26:20.041 [main] INFO  o.hibernate.cache.internal.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2026-01-04 08:26:20.159 [main] INFO  o.s.o.j.persistenceunit.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2026-01-04 08:26:20.175 [main] INFO  com.zaxxer.hikari.HikariDataSource - MaterialHikariCP - Starting...
2026-01-04 08:26:20.268 [main] INFO  com.zaxxer.hikari.pool.HikariPool - MaterialHikariCP - Added connection com.mysql.cj.jdbc.ConnectionImpl@438c0aaf
2026-01-04 08:26:20.270 [main] INFO  com.zaxxer.hikari.HikariDataSource - MaterialHikariCP - Start completed.
2026-01-04 08:26:20.289 [main] WARN  org.hibernate.orm.deprecation - HHH90000025: MySQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2026-01-04 08:26:20.474 [main] INFO  o.h.e.t.jta.platform.internal.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2026-01-04 08:26:20.477 [main] INFO  o.s.orm.jpa.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2026-01-04 08:26:20.862 [main] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver - Exposing 3 endpoint(s) beneath base path '/actuator'
2026-01-04 08:26:20.900 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2026-01-04 08:26:20.923 [main] WARN  o.s.b.a.s.s.UserDetailsServiceAutoConfiguration - 

Using generated security password: c6344e20-db15-430d-a963-0bcd8f39ab35

This generated password is for development use only. Your security configuration must be updated before running your application in production.

2026-01-04 08:26:21.090 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@2e871e93, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@6c2063e0, org.springframework.security.web.context.SecurityContextHolderFilter@7d6ccad7, org.springframework.security.web.header.HeaderWriterFilter@333d5a0c, org.springframework.web.filter.CorsFilter@4f3672eb, org.springframework.security.web.authentication.logout.LogoutFilter@19ea65f4, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@752573df, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@3524ee20, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@22825762, org.springframework.security.web.access.ExceptionTranslationFilter@5efa05f9, org.springframework.security.web.access.intercept.AuthorizationFilter@6441db2c]
2026-01-04 08:26:21.649 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/api'
2026-01-04 08:26:21.657 [main] INFO  com.material.system.MaterialSystemApplication - Started MaterialSystemApplication in 3.208 seconds (process running for 3.414)
2026-01-04 08:42:06.988 [http-nio-8080-exec-1] INFO  o.a.c.c.ContainerBase.[Tomcat].[localhost].[/api] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-01-04 08:42:06.989 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-01-04 08:42:06.990 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2026-01-04 08:47:13.562 [main] INFO  com.material.system.MaterialSystemApplication - Starting MaterialSystemApplication using Java 19.0.2 with PID 5728 (C:\workplace\cangku\backend\target\classes started by Administrator in C:\workplace\cangku\backend)
2026-01-04 08:47:13.563 [main] DEBUG com.material.system.MaterialSystemApplication - Running with Spring Boot v3.2.2, Spring v6.1.3
2026-01-04 08:47:13.563 [main] INFO  com.material.system.MaterialSystemApplication - No active profile set, falling back to 1 default profile: "default"
2026-01-04 08:47:14.129 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-01-04 08:47:14.130 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-01-04 08:47:14.143 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 7 ms. Found 0 JPA repository interfaces.
2026-01-04 08:47:14.151 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-01-04 08:47:14.151 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-01-04 08:47:14.158 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 1 ms. Found 0 Redis repository interfaces.
2026-01-04 08:47:14.660 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2026-01-04 08:47:14.667 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2026-01-04 08:47:14.668 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.18]
2026-01-04 08:47:14.707 [main] INFO  o.a.c.c.ContainerBase.[Tomcat].[localhost].[/api] - Initializing Spring embedded WebApplicationContext
2026-01-04 08:47:14.708 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1121 ms
2026-01-04 08:47:14.868 [main] INFO  org.hibernate.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2026-01-04 08:47:14.894 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.1.Final
2026-01-04 08:47:14.911 [main] INFO  o.hibernate.cache.internal.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2026-01-04 08:47:15.028 [main] INFO  o.s.o.j.persistenceunit.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2026-01-04 08:47:15.043 [main] INFO  com.zaxxer.hikari.HikariDataSource - MaterialHikariCP - Starting...
2026-01-04 08:47:15.133 [main] INFO  com.zaxxer.hikari.pool.HikariPool - MaterialHikariCP - Added connection com.mysql.cj.jdbc.ConnectionImpl@438c0aaf
2026-01-04 08:47:15.134 [main] INFO  com.zaxxer.hikari.HikariDataSource - MaterialHikariCP - Start completed.
2026-01-04 08:47:15.154 [main] WARN  org.hibernate.orm.deprecation - HHH90000025: MySQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2026-01-04 08:47:15.353 [main] INFO  o.h.e.t.jta.platform.internal.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2026-01-04 08:47:15.357 [main] INFO  o.s.orm.jpa.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2026-01-04 08:47:15.719 [main] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver - Exposing 3 endpoint(s) beneath base path '/actuator'
2026-01-04 08:47:15.755 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2026-01-04 08:47:15.777 [main] WARN  o.s.b.a.s.s.UserDetailsServiceAutoConfiguration - 

Using generated security password: b54c4690-2cdc-4d82-bb4d-e7ba87d77997

This generated password is for development use only. Your security configuration must be updated before running your application in production.

2026-01-04 08:47:15.940 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@2e871e93, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@6c2063e0, org.springframework.security.web.context.SecurityContextHolderFilter@7d6ccad7, org.springframework.security.web.header.HeaderWriterFilter@333d5a0c, org.springframework.web.filter.CorsFilter@4f3672eb, org.springframework.security.web.authentication.logout.LogoutFilter@19ea65f4, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@752573df, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@3524ee20, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@22825762, org.springframework.security.web.access.ExceptionTranslationFilter@5efa05f9, org.springframework.security.web.access.intercept.AuthorizationFilter@6441db2c]
2026-01-04 08:47:16.531 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/api'
2026-01-04 08:47:16.539 [main] INFO  com.material.system.MaterialSystemApplication - Started MaterialSystemApplication in 3.238 seconds (process running for 3.459)
2026-01-04 08:47:45.792 [http-nio-8080-exec-1] INFO  o.a.c.c.ContainerBase.[Tomcat].[localhost].[/api] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-01-04 08:47:45.792 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-01-04 08:47:45.794 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2026-01-04 09:08:09.508 [main] INFO  com.material.system.MaterialSystemApplication - Starting MaterialSystemApplication using Java 19.0.2 with PID 16552 (C:\workplace\cangku\backend\target\classes started by Administrator in C:\workplace\cangku\backend)
2026-01-04 09:08:09.509 [main] DEBUG com.material.system.MaterialSystemApplication - Running with Spring Boot v3.2.2, Spring v6.1.3
2026-01-04 09:08:09.509 [main] INFO  com.material.system.MaterialSystemApplication - No active profile set, falling back to 1 default profile: "default"
2026-01-04 09:08:10.093 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-01-04 09:08:10.094 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-01-04 09:08:10.107 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 8 ms. Found 0 JPA repository interfaces.
2026-01-04 09:08:10.115 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-01-04 09:08:10.116 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-01-04 09:08:10.125 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 2 ms. Found 0 Redis repository interfaces.
2026-01-04 09:08:10.625 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2026-01-04 09:08:10.632 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2026-01-04 09:08:10.633 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.18]
2026-01-04 09:08:10.672 [main] INFO  o.a.c.c.ContainerBase.[Tomcat].[localhost].[/api] - Initializing Spring embedded WebApplicationContext
2026-01-04 09:08:10.673 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1141 ms
2026-01-04 09:08:10.827 [main] INFO  org.hibernate.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2026-01-04 09:08:10.854 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.1.Final
2026-01-04 09:08:10.875 [main] INFO  o.hibernate.cache.internal.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2026-01-04 09:08:10.981 [main] INFO  o.s.o.j.persistenceunit.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2026-01-04 09:08:10.994 [main] INFO  com.zaxxer.hikari.HikariDataSource - MaterialHikariCP - Starting...
2026-01-04 09:08:11.080 [main] INFO  com.zaxxer.hikari.pool.HikariPool - MaterialHikariCP - Added connection com.mysql.cj.jdbc.ConnectionImpl@477bea57
2026-01-04 09:08:11.081 [main] INFO  com.zaxxer.hikari.HikariDataSource - MaterialHikariCP - Start completed.
2026-01-04 09:08:11.100 [main] WARN  org.hibernate.orm.deprecation - HHH90000025: MySQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2026-01-04 09:08:11.259 [main] INFO  o.h.e.t.jta.platform.internal.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2026-01-04 09:08:11.262 [main] INFO  o.s.orm.jpa.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2026-01-04 09:08:11.795 [main] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver - Exposing 3 endpoint(s) beneath base path '/actuator'
2026-01-04 09:08:11.826 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2026-01-04 09:08:11.849 [main] WARN  o.s.b.a.s.s.UserDetailsServiceAutoConfiguration - 

Using generated security password: c84d6dd6-22d3-4c72-a649-ccc7ead4725d

This generated password is for development use only. Your security configuration must be updated before running your application in production.

2026-01-04 09:08:12.022 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@79de00af, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@1ed17eaf, org.springframework.security.web.context.SecurityContextHolderFilter@1027cdcd, org.springframework.security.web.header.HeaderWriterFilter@3884e858, org.springframework.web.filter.CorsFilter@1106a9cc, org.springframework.security.web.authentication.logout.LogoutFilter@be56353, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@2926144f, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@63893cf6, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@ef1080d, org.springframework.security.web.access.ExceptionTranslationFilter@39d62e47, org.springframework.security.web.access.intercept.AuthorizationFilter@7127f04b]
2026-01-04 09:08:12.414 [main] WARN  o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.context.ApplicationContextException: Failed to start bean 'webServerStartStop'
2026-01-04 09:08:12.420 [main] INFO  o.s.orm.jpa.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2026-01-04 09:08:12.421 [main] INFO  com.zaxxer.hikari.HikariDataSource - MaterialHikariCP - Shutdown initiated...
2026-01-04 09:08:12.425 [main] INFO  com.zaxxer.hikari.HikariDataSource - MaterialHikariCP - Shutdown completed.
2026-01-04 09:08:12.435 [main] INFO  o.s.b.a.logging.ConditionEvaluationReportLogger - 

Error starting ApplicationContext. To display the condition evaluation report re-run your application with 'debug' enabled.
2026-01-04 09:08:12.456 [main] ERROR o.s.b.diagnostics.LoggingFailureAnalysisReporter - 

***************************
APPLICATION FAILED TO START
***************************

Description:

Web server failed to start. Port 8080 was already in use.

Action:

Identify and stop the process that's listening on port 8080 or configure this application to listen on another port.

2026-01-04 09:08:55.650 [main] INFO  com.material.system.MaterialSystemApplication - Starting MaterialSystemApplication using Java 19.0.2 with PID 18772 (C:\workplace\cangku\backend\target\classes started by Administrator in C:\workplace\cangku\backend)
2026-01-04 09:08:55.651 [main] DEBUG com.material.system.MaterialSystemApplication - Running with Spring Boot v3.2.2, Spring v6.1.3
2026-01-04 09:08:55.651 [main] INFO  com.material.system.MaterialSystemApplication - No active profile set, falling back to 1 default profile: "default"
2026-01-04 09:08:56.207 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-01-04 09:08:56.210 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-01-04 09:08:56.229 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 10 ms. Found 0 JPA repository interfaces.
2026-01-04 09:08:56.237 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-01-04 09:08:56.238 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-01-04 09:08:56.245 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 2 ms. Found 0 Redis repository interfaces.
2026-01-04 09:08:56.758 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2026-01-04 09:08:56.767 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2026-01-04 09:08:56.768 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.18]
2026-01-04 09:08:56.808 [main] INFO  o.a.c.c.ContainerBase.[Tomcat].[localhost].[/api] - Initializing Spring embedded WebApplicationContext
2026-01-04 09:08:56.809 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1133 ms
2026-01-04 09:08:56.963 [main] INFO  org.hibernate.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2026-01-04 09:08:56.997 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.1.Final
2026-01-04 09:08:57.025 [main] INFO  o.hibernate.cache.internal.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2026-01-04 09:08:57.137 [main] INFO  o.s.o.j.persistenceunit.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2026-01-04 09:08:57.151 [main] INFO  com.zaxxer.hikari.HikariDataSource - MaterialHikariCP - Starting...
2026-01-04 09:08:57.238 [main] INFO  com.zaxxer.hikari.pool.HikariPool - MaterialHikariCP - Added connection com.mysql.cj.jdbc.ConnectionImpl@62615be
2026-01-04 09:08:57.239 [main] INFO  com.zaxxer.hikari.HikariDataSource - MaterialHikariCP - Start completed.
2026-01-04 09:08:57.259 [main] WARN  org.hibernate.orm.deprecation - HHH90000025: MySQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2026-01-04 09:08:57.430 [main] INFO  o.h.e.t.jta.platform.internal.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2026-01-04 09:08:57.433 [main] INFO  o.s.orm.jpa.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
